amount,name,unit
1,Rotkohl,Glas
1,Zimt (Streudose),TL
2,Gewürznelken,
2,Sternanis,
4,Cranberry-Sauce,EL
2,Petersilie,Zweig(e)
3,REWE Feine Welt Aceto Balsamico di Modena,EL
400,Enten Fond,ml
2,Speisestärke,TL
2,Mais,Dose(n)
2,Süßkartoffeln,
8,große Kopfsalatblätter,
1,Zwiebel,
1,Knoblauch,Zehe(n)
2,Öl,EL
5,Erdnussbutter,EL
"1,20",Gemüsebrühe,l
150,Halloumi-Käse,g
,Salz,
1,Öl,EL
3,Sonnenblumenkerne,EL
2,Kohlrabi,
6,"Cornflakes, ungezuckert",EL
6,Paniermehl,EL
,Salz,
,Pfeffer,
,Kurkuma,
3,Mehl,EL
,Paprikapulver,
2,Salatgurken,
4,Sonnenblumenöl,EL
2,Limettensaft,EL
3,Soja-Kochcreme,EL
2,Lauchzwiebeln,
,Pfeffer,
1,rote Zwiebel,
400,ja! Wiener Würstchen,g
1,rote Zwiebel,kleine
1,rote Paprikaschote,
1,gelbe Paprikaschote,
2,ja! Rapsöl,EL
1,Senf,TL
,ja! Curry gemahlen,
600,ja! passierte Tomaten,ml
300,ja! Currysauce,ml
,ja! Salz,
,Curryketchup,
,Pfeffer,
1,Dill,Bund
1,Petersilie,Bund
800,Kohlrabi,g
2,ja! Markenbutter,EL
1,Ahornsirup,TL
100,ja! Schinkenwürfel,g
,Pfeffer,
750,Gemüsebrühe,ml
1,ja! Schmand (24%),Becher
200,ja! Schlagsahne,g
2,Zucchini,
1,kleiner Mangold,
1,Brokkoli,
300,grüne Bohnen,g
1,Zwiebel,
2,Sellerie,Stange(n)
1,Gemüsezwiebel,
"0,50",Petersilie,Bund
70,Parmesan,g
,Salz,
,Pfeffer,
2,Eier,
100,Frischkäse,g
300,Erbsen (tiefgefroren),g
1,Senf,EL
1,Honig,EL
"0,50",Dill,Bund
,Salz,
,Pfeffer,
1,Gurke,halbe
"1,20",Gemüsebrühe,l
1,Limette,halbe
250,Reis,g
,Salz,
1,rote Paprika,
2,Öl,EL
1,gelbe Paprika,
1,kleine Zucchini,
2,Schwarzbrot,Scheibe(n)
1,Olivenöl,EL
,Pfeffer,
,Paprikapulver edelsüß,
4,Eier,
100,geriebener Käse,g
50,getrocknete Datteln (entsteint),g
100,getrocknete Aprikosen,g
150,getrocknete Cranberries,g
100,feine Haferflocken,g
30,Sonnenblumenkerne,g
1,Apfelsaft,EL
1,Zwiebel,
100,Räucherlachs,g
"0,50",Schnittlauch,Bund
4,Zucchini,
2,Möhren,
3,Olivenöl,EL
150,Räuchertofu,g
1,Schalotte,
1,Knoblauchzehe,
"0,50",Bio-Zitrone,
,Pfeffer,
3,Gyros-Gewürz,TL
,Salz,
7,Öl,EL
600,Hähnchenfilet,g
1,Spitzkohl,Kopf
,Salz,
150,Gemüsebrühe,ml
4,Weißwein-Essig,EL
,Pfeffer,
1,Zucker,Prise(n)
2,Tomaten,
1,"Zwiebel, rot",
300,Gurke,g
"0,50",Schnittlauch,Bund
1,Knoblauchzehe,
250,Sahnejoghurt,g
1,Fladenbrot,
10,Brombeeren,
"0,50",Bio-Zitrone,
10,Pink Gin,cl
3,Rohrzuckersirup,cl
2,Eiswürfel,Handvoll
150,Tonic Water,ml
150,weißes Mandelmus,g
"0,50",Petersilie,Bund
,REWE Beste Wahl Tafelsalz,
200,Blattspinat,g
2,Rapsöl,EL
100,Buchweizen,g
200,Räuchertofu,g
"0,50",glatte Petersilie,Bund
200,Kirschtomaten,g
4,Walnussöl,EL
,REWE Beste Wahl Pfeffer a. d. Mühle,
,Salz,
4,Zucchini,kleine
4,Tomaten,
1,Zwiebel,
1,Knoblauchzehe,
4,grüne Oliven,EL
,einige Zweige Thymian,
150,Feta,g
1,Olivenöl,EL
,Pfeffer,
400,ungesüßter Pflanzendrink (z.B. Soja oder Hafer),ml
,Paprikapulver edelsüß,
300,Gemüsebrühe,ml
1,Zwiebel,
3,Möhren,
1,edelsüßes Paprikapulver,EL
100,Reisnudeln (Kritharaki),g
400,Bio-Hähnchenbrustfilet,g
150,Zucker,g
2,Vanillezucker,Päckchen
320,Reis (parboiled),g
520,Gemüsebrühe,ml
3,Eier,
6,Gelatine,Blätter
250,Milch,ml
500,Sahne,ml
150,REWE frei von Mehlmischung,g
20,Backkakao,g
350,Vollmilchkuvertüre,g
180,Butter,g
180,Puderzucker,g
200,gemahlene Mandeln,g
180,REWE frei von Mehlmischung,g
200,Zartbitterkuvertüre,g
400,Sahne,ml
16,REWE frei von Mini-Windbeutel glutenfrei,
100,Himbeeren,g
100,Heidelbeeren,g
"0,50",Kurkuma,TL
,Salz,
1,Kardamom,Msp.
"0,50",Chilipulver,TL
300,griechischer Joghurt,g
800,Hähnchenbrust,g
1,Zwiebel,
1,große Möhre,
2,grüne Chilischoten,
3,Ghee,EL
250,Basmatireis,g
1,Zimt,Stange(n)
2,Ingwer,cm
1,Knoblauch,Zehe(n)
2,Garam Masala,TL
150,TK-Erbsen,g
"0,50",Koriander,Bund
200,Joghurt,g
1,Zitronensaft,EL
850,Möhren (Bund),g
150,Orangensaft,ml
,Salz,
2,Olivenöl,EL
80,gesalzene Pinienkerne (mit Schale),g
50,getrocknete Cranberries,g
250,Couscous,g
"0,50",Zimt,TL
1,Limettensaft,TL
20,Ingwer,g
4,Eier,
4,Räucherlachs,Scheibe(n)
5,Dill,Stiel(e)
150,Crème fraîche,g
3,"Senf, mittelscharf",EL
1,Honig,EL
,Salz,
3,Pumpernickel,Scheibe(n)
,Pfeffer,
"0,50",Salatgurke,
450,Mehl,g
60,Butter,g
3,Eigelbe,
60,Zucker,g
1,Vanillezucker,Packung(en)
1,Salz,Prise(n)
1,Zitronenschale,TL
2,Hagelzucker,EL
,Bunte Schoko-Eier,
4,Brötchen,
160,Kräuter-Frischkäse,g
4,Schweinebraten,Scheibe(n)
4,Eier (Gr. S),
150,Sahnejoghurt,g
,Pfeffer,
"0,50",Schnittlauch,Bund
100,brauner Zucker,g
600,frische Pflaumen,g
1,Zitrone (Saft und Abbrieb),
2,Honig,EL
100,Mehl,g
70,Haferflocken,g
125,weiche Butter,g
50,gemahlene Haselnüsse,g
150,Sojadrink,g
50,Zucker,g
1,Vanillin-Zucker,Päckchen
60,vegane Margarine,g
1,Öl,EL
1,Trockenhefe,Päckchen
300,Mehl,g
"2,50",Hagelzucker,EL
600,Rhabarber,g
400,Erdbeeren,g
1,Limette,
2,braunen Zucker,EL
100,Speisestärke,g
200,gemahlene Walnüsse,g
150,weiche Butter,g
160,Zucker,g
1,Dr. Oetker Vanille-Mühle,
,frische Minze,
4,Eier,
,Salz,
2,Vanilleschoten,
2,Weckgläser,
170,Milch,ml
"1,50",Roastbeef,kg
10,Minze,Stiel(e)
,Pfeffer,
,Salz,
7,Sonnenblumenöl,EL
4,Eier,
1,Bio-Zitrone,
100,Mayonnaise,g
200,Schmand,g
"1,50",grüner Spargel,kg
250,Frühstücksspeck (Bacon) in Scheiben,g
100,weiche Butter,g
500,REWE Bio Magerquark,g
500,griechischer Joghurt,g
2,Vanillezucker,Päckchen
2,Grüne Soße-Kräuter,Bund
250,Sahne,ml
2,Schalotten,
300,REWE Beste Wahl Knusper Müsli Honey Nuts,g
2,Kakao,EL
20,Wasser,ml
75,Mehl,g
,Salz,
3,Dijonsenf,TL
1,Ei,
30,Butter,g
5,Räucher-Lachs,Scheibe(n)
500,TK REWE Beste Wahl Himbeeren,g
3,Dill,Zweig(e)
,Pfeffer,
50,Sahne Meerrettich,g
100,Frischkäse,g
75,Sahne,ml
2,Knoblauchzehen,
1,Anissamen,TL
1,Fenchelsamen,TL
1,Szechuan-Pfeffer,TL
2,brauner Zucker,EL
1,grobes Meersalz,TL
4,Ahornsirup,EL
2,milde Sojasauce,EL
2,kleine Romana-Salate,
1,"Avocado, reif",
1,"Limette, unbehandelt",
1,Basilikum,Zweig(e)
60,Milch,ml
"1,50",Olivenöl,EL
"0,50",Tabasco,TL
,Salz,
80,REWE Bio Quinoa Tricolore,g
1,Minze,Zweig(e)
1,Sesam,TL
12,Cashewkerne,g
2,Balsamico bianco,EL
5,Koriander,Zweig(e)
400,Cherry-Rispentomaten,g
"1,50",REWE Bio Natives Olivenöl extra,EL
100,Blumenkohl,g
"1,50",neutrales Öl,EL
1,Knoblauchzehe,
2,Zucker,EL
2,Schalotten,
5,Olivenöl,EL
1,Butter,EL
200,trockener Weißwein,ml
200,Gemüsefond,ml
,Meersalz,
,Pfeffer,
500,REWE Feine Welt Tagliolina al Basilico,g
"0,50",Basilikum,Bund
80,Pecorino,g
1,festkochende Kartoffeln,kg
,Salz,
500,REWE Bio tiefgefrorener Blattspinat,g
200,REWE Bio Schlagsahne,g
1,Gemüsezwiebel,
3,Petersilie,Stiel(e)
,REWE Bio Pfeffer Schwarz Mühle,
,frisch geriebene Muskatnuss,
4,Eier (Größe M),
300,Tiefkühlerbsen,g
300,Gemüsebrühe,ml
200,REWE Bio Joghurt Mild (MEHRWEG),g
4,Stängel Minze,
,Salz,
,Pfeffer,
1,Muskatblüte,
1,Lauch,Stange(n)
1,Zwiebel,
200,Blattspinat,g
250,Quinoa,g
2,Olivenöl,EL
400,Gemüsebrühe,ml
1,Pfeffer,Prise(n)
1,Salz,Prise(n)
250,REWE Beste Wahl Cherry Romatomaten,g
1,gelbe Paprika,
200,REWE Bio Körniger Frischkäse,g
150,Milch,ml
2,Mozzarella,Packung(en)
250,Spaghetti,g
2,Sonnenblumenöl,EL
100,frische Champignons,g
200,gemischtes Hackfleisch,g
300,Wasser,ml
20,mittelgroße REWE Regional Champignons,
1,MAGGI fix & frisch Spaghetti Bolognese,Beutel
3,Knoblauch,Zehe(n)
1,Thymian,Stiel(e)
1,Oregano,Stiel(e)
1,Rosmarin,Zweig(e)
,Salz,
5,Balsamico,EL
4,Olivenöl,EL
,Pfeffer,
"0,25",Schnittlauch,Bund
"0,25",Petersilie,Bund
250,REWE Bio Speisequarkzubereitung,g
75,Butter,g
50,Mehl,g
800,Milch,ml
,Salz,
,Pfeffer,
,frisch geriebene Muskatnuss,
2,Zwiebeln,
1,Knoblauchzehe,
500,braune Champignons,g
2,Lauch,Stange(n)
1,Olivenöl,EL
6,Thymian,Stiel(e)
250,Speckwürfel,g
150,Kräuterseitlinge,g
2,Knoblauch,Zehe(n)
2,Rosmarin,Zweig(e)
15,Pasta Lasagne,Blätter
120,"geriebener, mittelalter Gouda",g
300,braune Champignons,g
4,Thymian,Zweig(e)
2,Balsamico Crema,EL
2,Olivenöl,TL
,Salz,
1,geriebener Parmesan,EL
"0,50",Schnittlauch,Bund
,Pfeffer,
300,Weißkohl,g
1,Möhre,große
,Salz,
"0,50",Kümmel,TL
6,Mayonnaise (vegan),EL
50,Joghurt (vegan),g
,Pfeffer,
"0,50",Sambal Oelek,TL
4,Schalotten,
4,Rapsöl,EL
150,Saure Sahne,g
2,Zucker,EL
1,Romana Salatherz,
370,Grillpaprika,g
4,Garden Gourmet vegane Burger Patties,
2,veganer Käse,Scheibe(n)
4,Hamburger Brötchen,
180,Nudeln,g
400,grüner Spargel,g
,Salz,
,Olivenöl,
,Pfeffer,
4,Parmesan (frisch gerieben),EL
500,Kohl (rot oder weiß),g
"0,50",Meersalz,TL
2,Karotten,
2,Schalotten,
"0,50",Petersilie,Bund
100,Buttermilch,ml
3,Öl,EL
1,süßer Senf,EL
1,REWE Beste Wahl mittelscharfer Senf,EL
1,Zucker,TL
2,Weißweinessig,EL
,Salz,
,Pfeffer,
2,Knoblauchzehen,
50,Champignons,g
500,Süßkartoffeln,g
150,Quinoa,g
6,Speisestärke,EL
80,getrocknete Cranberries,g
1,rote Chili,
3,gehackte Walnusskerne,EL
,Salz,
,Pfeffer,
4,Öl,EL
4,XXL-Hamburger- Brötchen,
1,Römersalat,
1,Hefe,Würfel
1,Zucker,Prise(n)
250,lauwarmes Wasser,ml
600,Weizenmehl,g
2,Salz,TL
1,Öl,EL
4,Gewürzgurken,
300,Coleslaw,g
8,Mango-Curry- Soße,EL
"0,25",Hefewürfel,
100,Wasser,ml
1,Zucker,
1,Olivenöl,EL
1,Salz,TL
500,Mehl,g
150,Milch,ml
1,Ei,
1,Schwarzer Sesam,EL
3,Olivenöl,EL
1,Schweinenacken (ohne Knochen),kg
3,Knoblauchzehen,
"0,50",grobes Meersalz,TL
"0,50",Chiliflocken,EL
1,Szechuan-Pfeffer,EL
1,schwarze Pfefferkörner,EL
150,Barbecue-Sauce,ml
600,Spitzkohl,g
150,Möhren,g
1,kleine Zwiebel,
1,Kümmelsamen,TL
,Salz,
50,Mayonnaise (50 % Fett),g
100,Vollmilchjoghurt,g
,"Pfeffer, gemahlen",
"1,50",Weißweinessig,EL
1,großer Gefrierbeutel,
,feste Alufolie,
500,Mehl,g
500,Kohl,g
2,Öl,EL
1,Zucker,TL
,Pfeffer,
,Pflanzenöl zum Ausbacken,
1,reife Mango,
1,Schalotte,kleine
1,rote Chilischote,kleine
1,Limette,
1,Kreuzkümmel,Prise(n)
1,Salz,Prise(n)
1,Trockenhefe,Päckchen
1,Zucker,TL
60,Olivenöl,ml
80,Joghurt,g
1,Ei (Gr. M),
350,Mehl,g
1,Salz,TL
1,Maiskolben,
1,gelbe Paprika,
150,gelbe Tomaten,g
"0,25",Salatgurke,
2,Schalotten,
2,Knoblauchzehen,
,Salz,
30,Hefe,g
1,gelbe Chili,
,Salz,
,Pfeffer,
2,Olivenöl,EL
1,Limette,
"0,25",Koriander,Bund
,Eiswürfel,
2,Schalotten,kleine
500,Tomaten,g
300,Erdbeere,g
2,Basilikum,Stiel(e)
3,Olivenöl,EL
3,Tomatenmark,EL
1,flüssiger Honig,TL
,Meersalz,
,"Pfeffer, gemahlen",
2,dunkler Balsamicoessig,EL
2,Schalotten,
1,Knoblauch,Zehe(n)
600,Schweinefilet,g
2,Olivenöl,EL
,Salz,
"0,50",Gurke,
,Pfeffer,
1,Butter,EL
1,Mehl,EL
300,Brühe,ml
200,Sahne,g
3,Paprika edelsüß,TL
"0,50",Petersilie,Bund
6,reife Tomaten,
2,gelbe Paprika,
1,Gurke,
"0,50",Honigmelone,
1,rote Zwiebel,
2,Apfelessig,EL
2,Chilischoten,kleine
,Salz,
300,Wasser,ml
4,Holzspieße,
,Öl zum Braten,etwas
20,Bio Gourmet Prawns,
1,festkochende Kartoffeln,kg
,Salz,
500,Champignons,g
1,Frühlingszwiebeln,Bund
2,Knoblauchzehen,
,Pfeffer,
1,Senf,EL
150,Feldsalat,g
1,Zucker,Prise(n)
,Pfeffer,
6,Sonnenblumenöl,EL
125,Fleischbrühe,ml
2,rote Zwiebeln,
125,Speckwürfel,g
6,Weißweinessig,EL
800,festkochende Kartoffeln,g
,Salz,
4,REWE ja! Reines Rapsöl,EL
,Pfeffer aus der Mühle,
1,Mehl,EL
400,Gemüsebrühe,ml
50,REWE ja! Schlagsahne,g
"0,50",glatte Petersilie,Bund
"0,50",REWE ja! Brechbohnen,Dose(n)
2,Schalotten,
250,REWE Beste Wahl Langkorn Spitzenreis (Kochbeutel),g
300,braune Champignons,g
,Salz,
,Pfeffer,
3,Rapsöl,EL
100,REWE Beste Wahl frische Schlagsahne (32% Fett),g
"0,50",Petersilie,Bund
"0,50",Schnittlauch,Bund
"0,50",Dill,Bund
200,Bandnudeln,g
350,Pfifferlinge,g
125,trockener Weißwein,ml
1,Mehl,EL
225,Gemüsebrühe,ml
200,Kirschtomaten,g
1,Zwiebel,
400,Hähnchenbrustfilet,g
2,Rapsöl,EL
,Salz,
,Pfeffer,
200,Sahne,g
800,Kabeljaufilet,g
1,Limette,
2,Schalotten,
10,Ingwer,g
250,Kokosmilch,ml
350,stückige Tomaten (Dose),g
,Salz,
"3,50",Koriander,Stiel(e)
2,Kokosraspeln,EL
"0,25",Petersilie,Bund
"0,25",Schnittlauch,Bund
1,rote Zwiebel,kleine
4,Kirschtomaten,Stück
1,Frühlingszwiebeln,
"0,25",Gurke,
500,Sahnequark,g
1,Olivenöl,EL
,Salz,
,Pfeffer,
1,Bio Zitrone (Abrieb und Saft),
1,festkochende Kartoffeln,kg
1,Salz,TL
,Pfeffer,
4,Butterschmalz,EL
1,rote Paprika,kg
1,Aubergine,
3,Knoblauch,Zehe(n)
1,Chiliflocken,TL
3,Olivenöl,EL
,Salz,
,Pfeffer,
2,Zwiebeln,
250,reifer Camembert,g
125,Frischkäse,g
40,Butter,g
,Salz,
,Pfeffer,
2,Rapsöl,EL
,Paprikapulver,
,Kümmel,
1,Madras Currypulver,TL
2,Chiliflocken,TL
1,Rucola,Bund
2,Butterschmalz,EL
3,Knoblauch,Zehe(n)
"1,50",Rindergulasch,kg
4,Tomatenmark,EL
400,Rotwein,ml
,Salz,
2,Bier,EL
500,Zwiebeln,g
4,Paprika edelsüß,TL
1,Cayennepfeffer,Msp.
1,Majoran,TL
800,Rinderbrühe,ml
2,Speisestärke,EL
"0,25",Hokkaido-Kürbis,
1,Orange,
2,Thymian,Stiel(e)
3,Olivenöl,EL
200,Rosenkohl,g
100,Sahne,ml
,Salz,
,Pfeffer,
25,Pinienkerne,g
2,Honig,EL
25,Walnüsse,g
1,Zitrone,
1,Ei,
125,Rucola,g
1,Weißweinessig,EL
1,Honig,TL
1,Senf,TL
2,Olivenöl,EL
,Salz,
,Pfeffer,
1,REWE Beste Wahl Antipasti Hirtensalat,Packung(en)
500,feiner Bulgur,g
500,Wasser,ml
2,Lauch,Stange(n)
2,Knoblauchzehen,
50,Walnüsse,g
1,Minze,Zweig(e)
200,Gemüsebrühe,ml
2,Frühlingszwiebeln,
300,Tomatenmark,g
50,Olivenöl,ml
1,Currypulver,TL
1,Paprika edelsüß,TL
1,Paprika rosenscharf,TL
1,Pfeffer,TL
1,Chiliflocken,TL
1,Kreuzkümmel,TL
1,Salz,TL
2,frischer Blätterteig,g
1,Ei,
3,rotes Pesto,EL
3,grünes Pesto,EL
50,Parmesan,g
200,Butter,g
170,Puderzucker,g
1,Salz,Prise(n)
1,Vanillezucker,Päckchen
1,Ei,
1,kleiner Kopfsalat,
300,Mehl,g
50,Stärke,g
1,kleine Tomate,
1,Petersilie,Zweig(e)
100,rotes Gelee,g
1,Knoblauchzehe,kleine
50,Walnusskerne,g
1,Zimt,Messerspitze
"0,50",Weißweinessig,TL
40,Wasser,ml
10,Frischkäse (Doppelrahmstufe),g
,Salz,
,Pfeffer,
50,Rucola,g
4,REWE Feine Welt Rindercarpaccio,Packung(en)
2,Zimtstangen,
1,REWE Bio Blütenhonig,EL
2,REWE Feine Welt Krosse Krüstchen,
60,Olivenöl,ml
,Salz,
100,rote Zwiebeln,g
2,Teebeutel REWE Feine Welt Kräuter Matcha,
500,Wasser,ml
500,ja! Apfel-Birnen Saft,ml
200,Brechbohnen,g
50,REWE Feine Welt Helles Italien Balsamico,ml
50,Apfelsaft,ml
50,Zucker,g
12,bunte Kirschtomaten,
60,Salatmischung (z. B. Babyleaf),g
60,schwarze Oliven,g
120,weißer Balsamico,ml
1,Kapern,EL
,Pfeffer schwarz,
4,frische Eier (Gr. M),
100,Walnüsse,g
2,Honig,EL
1,heller Balsamico,EL
1,Senf,TL
,Salz,
,Pfeffer,
3,Olivenöl,EL
"0,50",glatte Petersilie,Bund
1,Knoblauchzehe,
2,Schalotten,
3,REWE Feine Welt Geräucherter Thunfisch,Packung(en)
1,frische Rote Bete,Bund
200,Feta,g
1,Olivenöl,EL
400,Gemüsebrühe,ml
2,Paprikapulver (scharf),TL
,Salz,
,Pfeffer,
500,"Naturjoghurt (1,5 %)",g
"0,50",Schnittlauch,Bund
2,breites Stück frischer Ingwer,cm
1,REWE Bio Haferdrink,l
1,Kurkuma gemahlen,TL
"0,50",REWE Beste Wahl Zimt gemahlen,TL
4,REWE Bio Kokosöl nativ,TL
2,REWE Bio Ahornsirup,EL
,"Pfeffer, frisch gemahlen",
"0,50",Rotkohl,Kopf
3,Olivenöl,EL
"0,50",Petersilie,Bund
6,Datteln,
4,Salatkerne-Mix,EL
150,Feta,g
1,Honig,TL
,Meersalz,
,Frisch gemahlener Pfeffer,
1,Zitrone (Saft),
2,Zwiebeln,
1,Brötchen (altbacken),
500,gemischtes Hackfleisch,g
5,Paniermehl,EL
2,ja! Senf mittelscharf,TL
1,Ei,
,Salz,
,Pfeffer,
"0,80",Kohlrabi,kg
500,Gemüsebrühe,ml
"0,75",Kartoffeln,kg
2,ja! Sonnenblumenöl,EL
25,ja! Butter mild gesäuert,g
25,Mehl,g
200,Milch,ml
2,Zwiebeln,
4,Rispentomaten,
2,Maultaschen (z.B. Gemüse),Packung(en)
2,Olivenöl,EL
400,gehackte Tomaten,g
,Salz,
,Pfeffer,
200,rote Linsen,g
,Salz,
1,Brokkoli,
1,Kichererbsen,Dose(n)
4,Öl,EL
1,Paprikapulver,TL
300,Tempeh,g
2,Sojasoße,EL
1,Zitrone,
3,Tahini,EL
2,Ahornsirup,EL
100,Gemüsebrühe,ml
1,Chilipulver,TL
1,Zwiebel,kleine
1,Koriander,Bund
4,Kokosjoghurt,EL
1,"geröstete, gesalzene Erdnüsse",Handvoll
400,Seitan,g
500,gemischte Pilze,g
2,Schalotten,
1,Knoblauchzehe,
1,Öl,EL
,Salz,
1,Tomatenmark,TL
400,Hafersahne,ml
500,Spätzle ohne Ei,g
1,gekörnte Brühe,TL
,Paprikapulver rosenscharf,
2,Mozzarella,Packung(en)
200,Quinoa,g
,Muskatnuss,
4,Karotten,
3,Rote Bete,
1,"Hokkaido Kürbis, klein",
6,Olivenöl,EL
1,Rosmarin,Zweig(e)
2,Thymian,Zweig(e)
,Pfeffer,
3,Lorbeerblätter,
1,Zimtstange,
"0,50",Petersilie,Bund
3,Thymian,Zweig(e)
,Salz,
,Pfeffer,
1,"Orange, unbehandelt",
1,rote Zwiebel,
1,Kapern,EL
50,Walnüsse,g
2,Knoblauchzehen,
30,Petersilie,g
1,Gemüsefond,l
2,Zucchini,kleine
1,rote Zwiebel,
1,Knoblauch,Zehe(n)
1,Bio Zitrone,
2,Rapsöl,EL
400,Risottoreis,g
200,Weißwein,ml
"0,50",THOMY Sauce Hollandaise,Packung(en)
,Salz,
,Pfeffer,
800,Kartoffeln (festkochend),g
1,rote Zwiebel,
100,Schinkenwürfel,g
1,Butter,TL
180,Reibekäse,g
2,Senf,EL
230,Joghurt,g
,Salz,
,Pfeffer,
,Paprikapulver,
4,Eier,
1,Schnittlauch,Bund
200,Quark,g
100,Butter (zimmerwarm),g
200,Mehl,g
,Salz,
1,Brokkoli,
100,Ziegenfrischkäse,g
3,Eier,
200,Sahne,g
,Pfeffer,
500,Babyspinat,g
"0,50",Granatapfel,
75,Walnüsse,g
5,Olivenöl,EL
2,Himbeeressig,EL
1,Honig,TL
1,Dijonsenf,EL
400,Tofu Natur,g
1,Zwiebel,
4,Sonnenblumenöl,EL
"0,50",Kurkuma,TL
,Pfeffer,
1,Paprikapulver,Prise(n)
,Salz,
8,ungesüßter Sojajoghurt,EL
1,Kala Namak,TL
"0,25",Schnittlauch,Bund
4,Bauernbrot,Scheibe(n)
1,Ahornsirup,EL
2,Rote Bete,Knolle(n)
50,Sonnenblumenkerne,g
50,Lollo Rosso,g
50,Lollo Bionda,g
50,Babyspinat,g
50,Frisée,g
60,Rapsöl,ml
30,Rotweinessig,ml
30,Wasser,ml
1,rote Zwiebel,
3,Senf,TL
6,Zucker,TL
,Salz,
,Pfeffer,
2,Gemüsezwiebeln,
3,"Essig, z. B. REWE Feine Welt Rosa Italien",EL
2,Möhren,
50,Orangensaft,ml
4,Äpfel,
1,Zitronensaft,EL
150,Apfelsaft,ml
50,Zucker,g
1,Zimt,Prise(n)
1,Kartoffeln (mehligkochend),kg
,Salz,
50,Butter,g
100,Sahne,ml
1,Muskat,Prise(n)
5,Sonnenblumenöl,EL
1,Zwiebel,
4,geräucherter Bauchspeck,Scheibe(n)
500,grüne Bohnen,g
4,Kochbirnen,
4,Bohnenkraut,Stange(n)
400,Kartoffeln,g
1,Speisestärke,TL
1,Zitrone,
,Salz,
,Pfeffer,
4,Mehl,EL
,Salz,
"1,50",Grünkohl,kg
2,Zwiebeln,
30,Schweineschmalz,g
,Pfeffer,
600,Blutwurst,g
300,Gemüsebrühe,ml
,Pfeffer,
,Piment,
200,Bauchspeck,g
600,Kasslerlachse,g
4,Pinkelwürste (alternativ Kochwurst oder Mettenden),
270,Scallops,g
1,Schalotte,
2,Haferflocken,EL
800,Kartoffeln,g
4,Senf,EL
1,Zucchini,
1,Butter,EL
250,Weißwein,ml
90,Feigen Senfsauce (z. B. REWE Feine Welt „Feigen Senfsauce“),ml
,Salz,
500,Bandnudeln (z. B. REWE Feine Welt „Elsässer Sonntag“),g
,Pfeffer (z. B. REWE Feine Welt „Tellicherry Pfeffer“),
1,Rapsöl,EL
50,gehackte Walnüsse,g
3,Karotten,
,Pfeffer,
3,Zucchini,
,Salz,
750,"Bandnudeln,  REWE Feine Welt Elsässer Sonntag",g
1,Knoblauch,Zehe(n)
3,Rapsöl,EL
300,Risottoreis,g
200,"Weißwein (Nederburg, Sauvignon Blanc)",ml
"1,20",Gemüsebrühe,l
50,Parmesan,g
1,Butter,EL
,Salz,
,Pfeffer,
"0,50",Koriandersaat,EL
"0,50",Maisgrieß,EL
35,Butter,g
5,Koriander,g
1,Bio Zitrone,
650,Milch,ml
200,Sahne,ml
75,Butter,g
150,Zucker,g
150,Mohn,g
50,gemahlener Mohn,g
100,Hartweizengrieß,g
2,Eier,
1,Salz,Prise(n)
4,große Pfirsiche,
2,Mandelblättchen,EL
4,Aprikosenkonfitüre ohne Stücke,EL
2,Orangensaft,EL
"2,50",Zwiebeln (z. B. von REWE Feine Welt),kg
5,Honig,EL
2,Olivenöl,EL
8,Balsamico (z. B. von REWE Feine Welt),EL
3,Lorbeerblätter,
2,Sternanis,
300,Weizenmehl,g
1,Backpulver,TL
1,Salz,TL
5,Olivenöl,EL
2,Sesam,EL
2,Thymian (getrocknet),EL
2,Sumach,TL
1,Meersalz,TL
1,Knoblauchzehe,
2,REWE Beste Wahl Kreta Olivenöl extra,EL
40,REWE Bio Bacon-Würfel,g
400,REWE Beste Wahl Spaghetti mit Frischei,g
60,Pecorino,g
100,TK-Erbsen,g
1,Zwiebel,
,Salz,
,Pfeffer,
250,Brokkoli,g
4,Eier (Größe M),
2,Zwiebeln,
1,Chilischote,
2,Öl,EL
2,Basilikum,Zweig(e)
500,Rinderhackfleisch,g
3,Tomatenmark,EL
,Pfeffer,
400,REWE frei von Spaghetti (glutenfrei),g
5,Basilikum,Zweig(e)
100,REWE frei von Frischkäse (laktosefrei),g
1,stückige Tomaten,Packung(en)
,Salz,
3,REWE frei von Schlagsahne (laktosefrei),EL
200,Marzipanrohmasse,g
75,Puderzucker,g
100,Mehl,g
100,gemahlene Mandeln,g
1,Ei,
1,Salz,Prise(n)
2,gehackte Mandeln,EL
1,Eigelb,
4,Pastinaken,
1,Zimt,TL
2,REWE Beste Wahl Schalotten,
1,Amaretto,EL
4,Rote Beten,
4,große Möhren,
"0,50",Hokkaido-Kürbis,
4,REWE Bio Rapsöl nativ,EL
2,Apfelessig,EL
1,REWE Bio Blütenhonig,EL
1,REWE Regional Gurke,
2,REWE Regional Zucchini,
3,REWE Regional Möhren,
,Salz,
,Pfeffer,
2,Kürbiskernöl,EL
1,REWE Regional Zwiebel,
2,Knoblauch,Zehe(n)
4,getrocknete Tomaten,
2,Öl,EL
,Salz,
400,REWE Bio Hackfleisch,g
,Pfeffer,
2,Rosmarin,Zweig(e)
100,Gemüsebrühe,ml
150,REWE Bio Schmand,g
4,Tomaten,
1,rote Paprika,
1,kleine rote Zwiebel,
"0,50",glatte Petersilie,Bund
1,Chilischote,
5,REWE Bio Natives Olivenöl extra,EL
3,Zitronensaft,EL
