amount,name,unit
400,ja! gehackte Tomaten,g
150,REWE Bio Gemüsebrühe (Instant),ml
,ja! Zucker,
400,REWE Feine Welt Elsässer Sonntag (extrabreite Bandnudeln),g
4,REWE Feine Welt Prosciutto,Scheibe(n)
12,Salbei,Blatt
400,REWE Feine Welt Elsässer Sonntag (extrabreite Bandnudeln),g
,Salz,
2,Knoblauch,Zehe(n)
1,Chilischote,
2,REWE Feine Welt Lesvos g.g.A. Olivenöl,EL
2,Tomatenmark,EL
400,Basmatireis,g
1,kleiner Kopf Brokkoli,
1,REWE Feine Welt Sugo piccante,Glas
1,Aubergine,
200,Champignons,g
2,Hähnchenbrust,Stück
,Salz,
5,Mehl,EL
2,Eier,
8,Panko Paniermehl,EL
2,Kokosöl,EL
100,Teriyaki-Sauce,ml
50,Sriracha Sauce,ml
100,Sojasprossen,g
1,Bio-Lachsfilet (tiefgefroren),Packung(en)
"0,25",Weißkohl,
4,Olivenöl,EL
2,Zitronensaft,EL
2,Honig,TL
,Salz,
,Pfeffer,
50,Ingwer,g
2,Vanilleschoten,
"0,50",Bio-Orange,
2,REWE Feine Welt Bandnudeln Elsässer Sonntag,Portionen
2,Pflanzenöl,EL
30,Butter,g
4,Thymian,Zweig(e)
400,REWE Beste Wahl tiefgefrorener Blattspinat,g
2,Rapsöl,EL
30,Pinienkerne,g
2,Schalotten,
1,Knoblauchzehe,
200,Gemüsebrühe,ml
,Salz,
,weißer Pfeffer,
,frische geriebene Muskatnuss,
100,Schmand,g
400,REWE Beste Wahl Bandnudeln,g
40,Parmesankäse,g
"0,80",tiefgefrorener Blattspinat,kg
1,Rapsöl,l
,Pfeffer,
400,REWE Feine Welt Elsässer Sonntag (Bandnudeln),g
1,rote Chilischote,
250,Kirschtomaten,g
200,"küchenfertige Garnelen (ohne Kopf, Schale und Darm)",g
100,Mangosauce,g
2,Basilikum,Zweig(e)
2,Öl,EL
,Salz,
,Pfeffer,
2,Schalotten,
150,REWE Feine Welt Le Gruyère AOP,g
500,grüner Spargel,g
1,Porree,Stange(n)
1,Schnittlauch,Bund
400,REWE Feine Welt Elsässer Sonntag Bandnudeln,g
,Salz,
2,REWE Feine Welt Lesvos g.g.A. Olivenöl,EL
400,REWE Feine Welt Gemüsefond,ml
200,Schlagsahne,g
1,(gestrichen) Speisestärke,TL
2,Zitronensaft,EL
,REWE Feine Welt Fleur de Sel,
,REWE Feine Welt Zitronenpfeffer,
100,Löffelbiskuit,g
400,Mascarpone,g
150,Schlagsahne,ml
100,Espresso,ml
50,Amaretto,ml
50,Puderzucker,g
50,Baiser,g
1,Vanilleschote,
1,Limette,
2,Passionsfrüchte,
400,Erdbeeren,g
,"Minze, frisch",etwas
2,Schokoraspeln,EL
60,brauner Zucker,g
350,Espresso,ml
110,Zucker,g
4,Eigelbe,
500,Mascarpone,g
200,Löffelbiskuits,g
2,Kakaopulver,EL
2,Äpfel,
25,brauner Zucker,g
100,Weißwein,ml
125,Mascarpone,g
75,Joghurt,g
1,Zitronensaft,TL
1,Zucker,EL
1,Zimt,TL
25,gehackte Mandeln,g
1,Vanillezucker,Päckchen
100,Löffelbiskuits,g
4,Amaretto,EL
1,Salz,Prise(n)
,Kakaopulver,
4,Eier,
1,Vanillin-Zucker,Packung(en)
75,Mehl,g
800,Schlagsahne,g
2,Sahnefestiger,Packung(en)
200,REWE Feine Welt dunkle Kakaocreme,g
250,Kirsch-Konfitüre,g
100,Zartbitter-Schokolade,g
1,Sauerkirschen,Dose(n)
,Fett und Mehl für die Form,
,Einmal-Spritzbeutel,
230,"REWE Bio Joghurt mild 1,8% (Mehrweg)",g
3,Eier,
60,Öl,ml
170,Zucker,g
1,Bio Zitrone,
280,REWE Bio Dinkelvollkornmehl,g
3,Weinsteinbackpulver,TL
2,Vanillezucker,Päckchen
70,zuckerreduzierter Fruchtaufstrich Waldbeere,g
20,Reisessig,ml
,Salz,
,Zucker,
50,"Lachsfilet (roh, im Stück)",g
150,Sushi-Reis,g
2,Backpulver,TL
2,Noriblätter,
,Wasabipaste,
,Sojasoße,
2,Schalotten,
1,Mehl,EL
1,Öl,EL
,Salz,
2,Zucker,TL
4,Hot Dog Brötchen,
,Hot Dog Würstchen,
2,Gewürzgurken,
4,Remoulade,EL
4,Ketchup,TL
4,mittelscharfer Senf,TL
1,rote Zwiebel,
1,Knoblauch,Zehe(n)
1,rote Chilischote,
2,Rapsöl,EL
"3,50",zuckerreduzierter Fruchtaufstrich Erdbeere,EL
3,heller Balsamico,EL
,Salz,
,Paprikapulver edelsüß,
,Pfeffer,
150,Feldsalat,g
3,Olivenöl,EL
1,Senf,TL
20,Walnüsse,g
75,Speisestärke,g
4,Öl,EL
1,Salz,TL
60,Wasabi-Erdnüsse,g
200,Saure Sahne,g
1,Avocado,
250,Marzipanrohmasse,g
2,Amaretto,EL
50,Salatgurke,g
2,Kakaopulver,EL
1000,frische Wakame Algen,g
120,Sesam,g
5,Limettensaft,EL
3,Zucker,Prise(n)
200,Puderzucker,g
9,Nori-Algen-Blätter,
,Pfeffer,
"0,50",Zimt,TL
200,Kirschtomaten,g
2,Knoblauch,Zehe(n)
1,Rapsöl,EL
,Salz,
,Pfeffer,
,Cayennepfeffer,
125,REWE Bio Mozzarella,g
30,Soft-Aprikosen,g
30,Soft-Datteln,g
50,Seeberger Walnüsse,g
50,Seeberger Cranberries,g
8,Sesamöl,EL
1,Brokkoli,
30,Cashewkerne natur,g
30,Kürbiskerne ohne Schale,g
1,REWE Bio Aubergine,
200,REWE Bio Möhren,g
1,Zwiebel,
2,Knoblauch,Zehe(n)
1,Olivenöl,EL
15,Basilikum,g
2,Rapsöl,EL
1,REWE Bio Ahornsirup,EL
1,REWE Bio Zucchini,
500,passierte Tomaten,ml
150,Gratinkäse,g
9,Lasagne-Platten,
500,REWE Bio Joghurt aus dem Glas,g
120,REWE Bio Früchtemix,g
120,Haferflocken,g
1,Apfel,
60,Cashewkerne,g
8,REWE Bio Beeren Müsli,EL
50,Kürbiskerne,g
4,REWE Bio Sonnenblumenöl,EL
1,Drillinge,kg
,Salz,
,Paprikapulver edelsüß,
1,REWE Feine Welt Fleur de Sel,TL
,Knoblauch,
1,REWE Bio Currypulver indisch,TL
200,REWE Bio Gemüsebrühe (glutenfrei),ml
,Pfeffer,
,Salz,
1,REWE Bio Saure Sahne,EL
4,Frühlingszwiebeln,
200,Champignons,g
1,Zucchini,
50,REWE Bio Cashewkerne,g
1,Möhre,
600,Schweinefilet,g
,Pfeffer,
1,Zwiebel,
1,REWE Beste Wahl Kidney-Bohnen,Dose(n)
2,REWE Bio Rapsöl,EL
,Kreuzkümmel,
4,REWE Beste Wahl Tortilla-Wraps,
200,ja! Gouda gerieben,g
2,glatte Petersilie,Bund
,Salz,
200,Cocktailtomaten,g
"0,50",REWE Bio Gurke,
1,REWE Bio Zitrone,
4,Olivenöl,EL
,Pfeffer,
1,Minze,Bund
8,ja! Soft-Datteln,
,Salz,
,Pfeffer,
1,REWE to go Granatapfelkerne,Handvoll
1,Zwiebel,
1,Knoblauch,Zehe(n)
2,REWE Bio Rapsöl nativ,EL
300,frischer Spinat,g
1,ja! Pinienkerne,EL
2,"REWE Beste Wahl Kalifornische Mandeln, gehackt",EL
500,Hackfleisch vom Rind,g
,Pfeffer,
,Salz,
1,Muskat,Msp.
"0,50",Zitrone,
300,REWE Bio Joghurt mild,g
6,REWE Bio Süßrahmbutter,EL
"0,50",Kreuzkümmel,TL
1,Yufkateig,Packung(en)
3,frische Minze,Stiel(e)
3,REWE Bio Orangen,
,etwas Butter zum Einfetten,
200,"REWE Bio Süßrahmbutter, Zimmertemperatur",g
250,ja! Raffinade Zucker,g
1,Vanillezucker,Päckchen
,Salz,
5,Eier,
200,REWE Bio Weizen-Vollkornmehl,g
250,REWE Beste Wahl Weizenmehl Type 405,g
2,Backpulver,TL
1,REWE Bio frische Backhefe,Würfel
1,ja! Raffinade Zucker,TL
400,lauwarmes Wasser,ml
800,Weizenmehl,g
125,REWE Bio Frische Buttermilch,ml
4,REWE Feine Welt Olivenöl,EL
"2,50",Salz,TL
1,Ei,
1,REWE Bio Zitrone,
2,schwarzer Sesam,EL
50,Wasser,ml
200,REWE Beste Wahl Weiße Schokoladen-Kuvertüre,g
1,Knoblauchzehe,
1,REWE Bio Natives Olivenöl extra,EL
1,REWE Bio Ahornsirup,EL
,Salz,
1,gehäufter EL schwarze Pfefferkörner,
300,REWE Bio Tofu Natur,g
2,Sesamöl,EL
1,Kichererbsen,Dose(n)
1,Schalotte,
100,Feta,g
1,Sambal Oelek,TL
4,Olivenöl,EL
,Salz,
,Pfeffer,
1,Zitrone,
1,Knoblauchzehe,
3,Petersilie,Zweig(e)
75,REWE Beste Wahl weiche Weidebutter,g
100,schwarze Oliven,g
2,REWE Bio Frische Bio-Eier,
150,REWE Bio Dinkelmehl Type 630,g
"0,50",Backpulver,TL
170,Milch,ml
2,Staudensellerie,Stange(n)
50,getrocknete Tomaten,g
,Salz,
,Pfeffer,
15,Schnittlauch,g
2,REWE Beste Wahl Thunfischfilets,Dose(n)
1,REWE Beste Wahl Sonnenmais,Dose(n)
100,REWE Bio Saure Sahne,g
2,REWE Beste Wahl Delikatess-Gewürzgurken,
4,Salatblätter,
,Fett für das Waffeleisen,
400,Reis,g
2,Lauch,Stange(n)
1,Spargel,Glas
2,Rapsöl,EL
200,TK-Erbsen,g
300,Fischfond,ml
500,Seelachsfilet,g
,Zitronensaft,
,Dill,
2,REWE Feine Welt Feta Lesbos,Packung(en)
4,Olivenöl,EL
100,Edel-Nuss-Mischung,g
100,Sahne,g
,Salz,
1,Granatapfel,kleiner
150,Feldsalat,g
2,rote Zwiebeln,
2,Balsamico-Essig,EL
,Salz,
,Pfeffer,
300,REWE Bio Feta 45%,g
5,REWE Bio Weizenmehl Type 550,EL
100,REWE Beste Wahl aromatische Walnüsse ganze Kerne,g
8,REWE Beste Wahl Kalifornische Mandeln gemahlen,EL
,Pfeffer,
1,Ei,
,Salz,
,Pfeffer,
1,Öl,EL
2,Rosmarin,Stiel(e)
300,Champignons,g
4,flüssiger Honig,EL
1,Paprikapulver,EL
2,neutrales Öl,EL
,Salz,
,Pfeffer,
3,Essiggurken,
2,rote Zwiebeln,
250,bunte Paprika,g
"0,50",Dill,Bund
80,Essig,ml
2,Akazienhonig (z. B. von REWE Bio),EL
100,Olivenöl,ml
150,Walnüsse,g
350,Feta (z. B. von REWE Bio),g
750,Blattspinat,g
1,Zwiebel,
1,Knoblauchzehe,
200,Feta,g
2,Olivenöl,EL
,Salz,
,Pfeffer,
4,Yufka-Teigblätter,
1,Blumenkohl,kleiner
1,Eigelb,
8,kleine Tomaten,
,Salz,
,Pfeffer,
1,Knoblauchzehe,
6,schwarze Oliven,
100,Feta,g
5,Olivenöl,EL
2,mittelgroße Zucchini,
4,Eier,
4,Strauchtomaten,
2,Knoblauchzehen,
100,Kirschtomaten,g
1,Zucchini,
50,Milch,ml
,Pfeffer,
,Salz,
"0,50",Aubergine,
1,Knoblauch,Zehe(n)
50,schwarze Oliven,g
4,Öl,EL
2,Basilikum,Stange(n)
100,Feta,g
150,Instant Weizenmehl,g
125,Magerquark,g
2,Eier,
50,Milch,ml
,Salz,
250,braune Champignons,g
250,REWE Bio Tomaten,g
2,REWE Bio Natives Olivenöl,EL
,Pfeffer,
125,Blattsalat,g
150,REWE Bio Feta,g
1,Zitrone,
"0,50",Schnittlauch,EL
"0,50",Dill,EL
100,Naturjoghurt,g
"0,50",Honig,EL
250,Spaghetti,g
200,Melone,g
200,Feta,g
"0,50",Minze,Bund
30,Bio Olivenöl,ml
1,Salz,Prise(n)
1,Pfeffer,Prise(n)
"0,50",Zitrone,
150,grober Bulgur,g
8,Olivenöl,EL
1,Kreuzkümmel,TL
50,Pinienkerne,g
300,Rinderhackfleisch,g
,Salz,
,Chili Pulver,
5,getrocknete Feigen,
1,Zitrone,
1,Honig,TL
1,Petersilie,Bund
100,Feta,g
4,gekochte Rote Bete,
100,Feta,g
50,Walnüsse,g
1,Senf,TL
2,Honig,TL
3,Olivenöl,TL
1,Zitronensaft,TL
,Meersalz,Prise(n)
,Pfeffer,Prise(n)
,Zimt,Prise(n)
6,Öl,EL
"0,25",Zucker,TL
"0,50",Salz,TL
300,REWE Frei von Mehlmischung glutenfrei,g
150,REWE Frei von Magerquark laktosefrei,g
1,Backpulver,Packung(en)
1,Eigelb (Größe M),
2,glatte Petersilie,Stiel(e)
"6,50",laktosefreie Vollmilch,EL
3,Minze,Stiel(e)
2,Knoblauchzehen,
200,REWE Frei von Hirtenkäse laktosefrei,g
100,laktosefreier Frischkäse,g
,Pfeffer,
2,Zitronensaft,EL
1,Kartoffeln,kg
250,Cherrytomaten,g
500,gemischtes Hackfleisch,g
3,Tomatenmark,EL
,Pfeffer,
1,Zwiebel,
2,Sonnenblumenöl,EL
,Salz,
1,Oregano,TL
200,Saure Sahne,g
2,Eier,
"0,50",Cayennepfeffer,TL
150,Feta,g
300,Feta,g
