x|y|labels
26.146038055419922|-16.86553955078125|Lebensmittelfarbe
26.17271614074707|-22.315567016601562|Abrieb
24.550546646118164|-11.589046478271484|Limette
18.211164474487305|-5.7208428382873535|Beste
24.358156204223633|-9.207101821899414|Wahl
11.35139274597168|-2.076079845428467|Schlagsahne
26.341506958007812|-23.046419143676758|g
24.290983200073242|-8.996684074401855|REWE
-17.451862335205078|28.641706466674805|Linguine
15.273099899291992|-3.6917688846588135|Mandeln
26.170656204223633|-25.23749351501465|EL
19.885982513427734|-5.916300296783447|gehackt
4.613428592681885|-2.47145676612854|Mango
26.476238250732422|-20.622495651245117|Dosen
-18.555984497070312|2.7970471382141113|gewürfelt
8.248624801635742|-2.2257416248321533|tiefgefroren
20.067707061767578|-6.005996227264404|Milch
-3.195225954055786|-2.7977960109710693|Creme
-15.390755653381348|-0.09430813044309616|Bier
26.309965133666992|-13.032428741455078|z
23.460433959960938|-8.346575736999512|B
26.37315559387207|-23.03057861328125|ml
-18.933073043823242|26.246179580688477|Mineralwasser
26.327617645263672|-25.502153396606445|mit
-22.381349563598633|9.946249961853027|Mini
-21.76223373413086|9.416223526000977|Cookies
11.347777366638184|-2.5611581802368164|Mozzarella
24.79859733581543|-12.052753448486328|gerieben
25.86298370361328|-23.516883850097656|%
26.263816833496094|-17.485576629638672|Fett
-15.883493423461914|0.18643158674240112|Muskatnuss
8.779263496398926|-2.282541036605835|Prisen
-9.485359191894531|-2.0256237983703613|Natives
20.186952590942383|-7.019513130187988|Olivenöl
-7.710012912750244|-2.145102024078369|extra
26.2866268157959|-17.942474365234375|Orange
26.08525848388672|-14.20777416229248|zB
26.247093200683594|-25.556713104248047|oder
-22.164287567138672|17.733957290649414|Paniermehl
5.945802211761475|-2.0944483280181885|Champignons
26.297922134399414|-24.302854537963867|Glas
11.358160018920898|-2.524681329727173|Butter
26.460426330566406|-23.417160034179688|Packungen
-18.675193786621094|2.9562220573425293|Penne
26.4108943939209|-19.244171142578125|Pfeffer
26.6091365814209|-27.024625778198242|aus
25.76383399963379|-24.407697677612305|der
19.226463317871094|-5.343581199645996|Mühle
-22.497461318969727|13.05506420135498|Pinienkerne
-18.226194381713867|26.157007217407227|Preiselbeeren
26.45738410949707|-24.027263641357422|TL
17.313669204711914|-4.089206218719482|gemahlen
-17.889375686645508|27.798276901245117|Rispentomaten
25.44316291809082|-12.49640941619873|Bio
-21.879764556884766|10.9451904296875|Apfel
23.638200759887695|-8.821731567382812|von
10.660604476928711|-2.045137405395508|Sahne
2.6980319023132324|-2.474987506866455|Schnittlauch
21.637392044067383|-7.410412788391113|im
21.261289596557617|-7.224835395812988|Topf
-4.935078144073486|-3.2668380737304688|Haselnüsse
-5.467123031616211|-2.9796249866485596|Salat
-11.197507858276367|-2.5202689170837402|Sonnenblumenöl
-22.320302963256836|11.745757102966309|Spaghetti
-21.5316219329834|18.28551483154297|Spätzle
23.26426124572754|-9.643566131591797|TK
5.303945541381836|-2.540578842163086|Blattspinat
17.095008850097656|-4.280296802520752|Nudeln
-17.487693786621094|1.782796025276184|Spinat
25.93731689453125|-15.526870727539062|Tomaten
26.349468231201172|-18.487106323242188|in
-17.911670684814453|26.81781005859375|Vanilleschote
16.89662742614746|-3.867414951324463|Vollmilch
11.559219360351562|-2.127094268798828|38
18.740339279174805|-5.037880897521973|Basilikum
-22.261451721191406|16.36744499206543|VollmilchJoghurt
-21.907760620117188|11.443089485168457|Wiener
-13.072257041931152|-1.5225517749786377|Würstchen
-1.7169710397720337|-3.0742902755737305|Curry
25.704992294311523|-15.320829391479492|grün
-21.866178512573242|17.43756866455078|Brötchen
-21.6931209564209|17.377037048339844|Zartbitter
24.759681701660156|-11.948628425598145|Schokolade
-18.902305603027344|26.175058364868164|ZartbitterSchokolade
2.5986218452453613|-2.4859275817871094|Zartbitterschokolade
-19.860017776489258|23.416492462158203|Ziegenkäse
26.007978439331055|-15.834151268005371|Scheiben
-19.023679733276367|3.2040624618530273|Zimt
19.598831176757812|-5.6996235847473145|Zwiebel
-17.284433364868164|28.272844314575195|RohRohrzucker
-22.49001693725586|10.628875732421875|eingelegte
9.109371185302734|-2.196345329284668|Peperoni
26.630430221557617|-21.529611587524414|rote
-11.060349464416504|-2.022686243057251|Chilischoten
26.340213775634766|-25.17758560180664|frische
26.846269607543945|-23.336111068725586|Eier
26.04876708984375|-25.87249755859375|Größe
26.866016387939453|-23.903579711914062|M
10.66774845123291|-2.5651497840881348|gemahlene
26.758197784423828|-27.12068748474121|ohne
8.094198226928711|-1.8834196329116821|Haut
25.080768585205078|-12.837797164916992|geriebener
26.222309112548828|-21.415435791015625|Oliven
-16.751598358154297|29.3994140625|Kochschinken
-22.06395721435547|17.411802291870117|Senf
-22.317359924316406|10.816410064697266|Zwiebeln
-18.8311824798584|2.7240548133850098|saure
8.32278823852539|-2.060514211654663|tiefgefrorene
21.400453567504883|-6.747325897216797|Erbsen
8.384881019592285|-2.319300889968872|Himbeeren
20.401639938354492|-6.354661464691162|junge
-14.04345417022705|-0.8905846476554871|tiefgefrorener
-18.695589065551758|26.555185317993164|Kokosmilch
24.557891845703125|-11.188309669494629|weiße
25.285524368286133|-13.426015853881836|Bohnen
-11.100536346435547|-2.166102409362793|L
-19.77594757080078|23.65350341796875|Reis
13.604535102844238|-2.7600185871124268|Aceto
26.655324935913086|-20.496793746948242|Balsamico
23.42722511291504|-9.824012756347656|di
14.00456714630127|-2.955386161804199|Modena
19.965988159179688|-5.913468360900879|Ananas
-19.640117645263672|23.92074203491211|Apfelsaft
